gene	transcript	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
ZNF311	ENST00000377179	307	3.5063e+02	8.7557e-01	1.7834e-05	4437	83	1.0135e+02	8.1892e-01	1323	93	1.2386e+02	7.5087e-01	5.9886e-06	1181	17	1.7515e-06	345	2.7927e+01	1.2064e-08	6.1237e-02	9.3876e-01	6.0873e-01	6.3400e-01	8.9200e-01	7.9700e-01	9.6200e-01	4.1600e-01	9.1300e-01		2.1795e+00	8.2799e-01	1.9161e+00	9618	5	3	30	4.9398e-04	1.8601e-04	124882	118	1	125001	4.7611e-04	2.8335e-02	2.3026e-03	1.1130e-03	9.9920e-05	3.3023e-04	9.2426e-05	2.0760e-04	8.2834e-04	3.6325e-04	2.0868e-03	1.0993e-03	9.9726e-05	3.2657e-04	9.2400e-05	2.0390e-04	8.1840e-04	3.5940e-04	protein_coding	ENSG00000197935	2	1998	6	protein_coding	10532	1.2945e-04	10	2.1454e+01	4.6611e-01	NA	6	28962562	28973093
ZNF322	ENST00000415922	100	1.6586e+02	6.0290e-01	8.0068e-06	2674	21	4.2814e+01	4.9050e-01	848	52	5.5576e+01	9.3566e-01	2.9423e-06	662	4	4.9442e-07	185	9.9991e+00	2.9880e-02	4.1309e-02	9.2881e-01	4.0004e-01	7.4800e-01	1.1790e+00	5.1200e-01	7.1200e-01	1.9600e-01	9.1500e-01		3.7706e-01	1.8174e+00	1.7580e+00	9634	5	3	11	8.0896e-05	1.5936e-05	125553	20	0	125573	7.9638e-05	7.9641e-04	0.0000e+00	8.7007e-05	0.0000e+00	5.4366e-05	9.2387e-05	8.0562e-05	1.6335e-04	1.3647e-04	0.0000e+00	8.6729e-05	0.0000e+00	5.4367e-05	9.2392e-05	7.9347e-05	1.6315e-04	1.3066e-04	protein_coding	ENSG00000181315	2	1206	1	protein_coding	23463	NA	NA	NA	NA	NA	6	26636518	26659980
MICAL1	ENST00000358807	655	6.3822e+02	1.0263e+00	4.0742e-05	6846	235	2.2129e+02	1.0619e+00	2516	250	2.5654e+02	9.7451e-01	1.5055e-05	2216	43	3.4078e-06	604	6.0539e+01	3.3837e-22	4.4483e-01	5.5517e-01	7.1029e-01	8.7800e-01	1.0820e+00	9.6200e-01	1.0950e+00	5.5500e-01	9.1600e-01		3.2090e-01	-2.3609e-01	2.0888e+00	9646	5	3	93	3.1871e-03	1.3202e-03	124965	777	6	125748	3.1182e-03	1.2227e+00	1.6636e-03	1.9445e-03	1.6911e-03	1.8063e-02	2.1284e-03	1.7798e-03	1.9625e-03	3.0392e-03	1.6623e-03	1.9098e-03	1.6879e-03	1.7938e-02	2.1272e-03	1.7507e-03	1.7931e-03	2.9440e-03	protein_coding	ENSG00000135596	2	3201	24	protein_coding	21907	2.5483e-12	26	4.4559e+01	5.8350e-01	NA	6	109765265	109787171
EEF1E1	ENST00000379715	76	8.9912e+01	8.4527e-01	4.1883e-06	1125	21	2.6425e+01	7.9471e-01	347	39	3.6761e+01	1.0609e+00	1.6600e-06	341	3	3.5511e-07	108	8.4645e+00	8.2607e-02	4.1136e-02	8.7626e-01	3.5442e-01	8.2000e-01	1.3860e+00	7.0100e-01	1.0230e+00	1.6000e-01	9.1600e-01		-2.9029e-01	5.2136e-01	1.7405e+00	9651	5	3	7	5.6052e-05	2.3923e-05	125734	14	0	125748	5.5668e-05	3.8969e-04	0.0000e+00	1.1597e-04	0.0000e+00	2.1754e-04	0.0000e+00	4.4346e-05	1.6377e-04	0.0000e+00	0.0000e+00	1.1564e-04	0.0000e+00	2.1749e-04	0.0000e+00	4.3949e-05	1.6288e-04	0.0000e+00	protein_coding	ENSG00000124802	2	522	4	protein_coding	29219	5.5327e-01	1	6.3340e+00	1.5788e-01	NA	6	8073593	8102811
ARG1	ENST00000356962	176	1.7810e+02	9.8820e-01	8.6193e-06	2125	74	7.7994e+01	9.4879e-01	913	67	6.7149e+01	9.9777e-01	3.5472e-06	685	8	8.2663e-07	194	1.5737e+01	3.5944e-04	4.2520e-02	9.5712e-01	5.0836e-01	8.1800e-01	1.2230e+00	8.7300e-01	1.1200e+00	2.9700e-01	9.1700e-01		1.4341e-02	5.5980e-02	1.8073e+00	9670	5	3	23	2.1521e-04	5.9695e-05	125691	53	0	125744	2.1077e-04	5.5859e-03	5.5676e-04	7.5188e-04	1.9873e-04	1.0879e-04	4.6253e-05	1.0585e-04	0.0000e+00	6.5325e-05	5.5380e-04	7.2297e-04	1.9843e-04	1.0874e-04	4.6195e-05	1.0549e-04	0.0000e+00	6.5327e-05	protein_coding	ENSG00000118520	2	990	8	protein_coding	11189	4.9988e-04	7	1.2156e+01	5.7583e-01	NA	6	131894284	131905472
PHACTR1	ENST00000379348	73	9.2123e+01	7.9242e-01	4.3003e-06	1064	1	2.2954e+00	4.3565e-01	27	34	3.7079e+01	9.1696e-01	1.7816e-06	360	0	1.3545e-07	48	3.2347e+00	6.3537e-01	2.6153e-02	3.3847e-01	0.0000e+00	6.9700e-01	1.2210e+00	6.5500e-01	9.6300e-01	0.0000e+00	9.1700e-01		3.9750e-01	7.0800e-01	1.6666e+00	9672	5	3	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000112137	2	507	3	protein_coding	570753	6.6412e-01	0	3.2830e+00	0.0000e+00	NA	6	12717893	13288645
FBXL4	ENST00000369244	299	3.2724e+02	9.1371e-01	1.6091e-05	4073	82	1.0555e+02	7.7691e-01	1258	123	1.2158e+02	1.0116e+00	6.0084e-06	1218	17	1.5917e-06	315	2.7785e+01	1.1384e-08	6.5780e-02	9.3422e-01	6.1185e-01	8.7300e-01	1.1750e+00	8.3000e-01	1.0060e+00	4.1800e-01	9.1800e-01		-1.0088e-01	5.5467e-01	1.8960e+00	9680	5	3	25	3.4385e-04	1.2752e-04	125660	86	0	125746	3.4202e-04	1.4709e-02	5.0268e-04	5.2384e-04	2.9780e-04	3.8061e-04	0.0000e+00	4.0707e-04	1.6361e-04	9.7994e-05	4.9225e-04	5.2049e-04	2.9766e-04	3.8063e-04	0.0000e+00	4.0442e-04	1.6288e-04	9.7993e-05	protein_coding	ENSG00000112234	2	1863	7	protein_coding	79430	7.9088e-03	7	1.9226e+01	3.6408e-01	NA	6	99316420	99395849
MEP1A	ENST00000230588	406	4.1329e+02	9.8235e-01	2.2058e-05	4944	143	1.6138e+02	8.8612e-01	1983	181	1.6158e+02	1.1202e+00	9.7999e-06	1362	25	1.8519e-06	432	3.8011e+01	9.1509e-13	1.2080e-01	8.7920e-01	6.5770e-01	9.9200e-01	1.2670e+00	9.0500e-01	1.0660e+00	4.7800e-01	9.1900e-01		-1.2007e+00	1.2751e-01	1.9556e+00	9692	5	3	35	2.1788e-04	2.3891e-05	125694	54	0	125748	2.1474e-04	5.7986e-03	1.8470e-04	1.7667e-04	9.9226e-05	2.1876e-04	1.3863e-04	2.4852e-04	1.6600e-04	2.7680e-04	1.8456e-04	1.7347e-04	9.9211e-05	2.1749e-04	1.3859e-04	2.4614e-04	1.6288e-04	2.6134e-04	protein_coding	ENSG00000112818	2	2238	14	protein_coding	46389	5.7671e-07	14	2.4685e+01	5.6714e-01	NA	6	46761127	46807515
RARS2	ENST00000369536	308	3.0481e+02	1.0105e+00	1.5907e-05	3780	101	1.1872e+02	8.5078e-01	1392	115	1.0540e+02	1.0911e+00	5.6242e-06	1068	27	2.0415e-06	472	4.0332e+01	7.7352e-14	1.5564e-01	8.4436e-01	6.6944e-01	9.3700e-01	1.2740e+00	9.2000e-01	1.1100e+00	4.9200e-01	9.2300e-01		-7.3486e-01	-6.4965e-02	1.9453e+00	9745	5	3	53	4.1020e-04	4.3788e-05	125645	103	0	125748	4.0963e-04	2.1100e-02	7.3897e-04	2.0244e-04	9.9285e-05	6.5253e-04	4.6194e-05	5.0202e-04	3.2653e-04	3.5937e-04	7.3846e-04	2.0238e-04	9.9211e-05	6.5260e-04	4.6195e-05	5.0114e-04	3.2579e-04	3.5935e-04	protein_coding	ENSG00000146282	2	1734	20	protein_coding	75626	3.4944e-06	14	2.9416e+01	4.7593e-01	NA	6	88224096	88299721
COL19A1	ENST00000322773	609	6.3212e+02	9.6342e-01	3.2337e-05	7177	206	2.4274e+02	8.4863e-01	2599	210	2.0250e+02	1.0371e+00	1.0341e-05	2313	62	4.1701e-06	1025	8.2783e+01	4.8406e-33	9.2157e-01	7.8434e-02	7.4895e-01	9.2600e-01	1.1630e+00	9.0100e-01	1.0300e+00	6.0900e-01	9.2500e-01		-4.1453e-01	3.2681e-01	2.1167e+00	9767	5	3	75	8.6175e-04	2.1221e-04	125538	210	0	125748	8.3535e-04	8.7749e-02	5.5930e-04	8.5235e-04	1.9940e-04	1.3036e-03	7.3949e-04	8.7793e-04	4.9116e-04	1.0906e-03	5.5380e-04	7.5190e-04	1.9843e-04	1.2512e-03	7.3937e-04	8.7056e-04	3.2579e-04	1.0784e-03	protein_coding	ENSG00000082293	2	3426	50	protein_coding	343217	5.5503e-17	37	6.4340e+01	5.7507e-01	NA	6	70576463	70919679
FLOT1	ENST00000376389	150	2.5547e+02	5.8715e-01	1.4734e-05	2768	31	7.3978e+01	4.1905e-01	825	73	9.8137e+01	7.4386e-01	5.7576e-06	849	17	1.5608e-06	288	2.7570e+01	1.0422e-08	7.3226e-02	9.2677e-01	6.1661e-01	6.1500e-01	9.0400e-01	5.1300e-01	6.7200e-01	4.2100e-01	9.2500e-01		1.9946e+00	2.3449e+00	1.8654e+00	9769	5	3	23	1.2171e-04	8.1653e-06	125718	30	0	125748	1.1929e-04	1.7895e-03	6.6146e-05	1.1692e-04	0.0000e+00	1.0938e-04	0.0000e+00	1.5337e-04	0.0000e+00	1.9753e-04	6.1518e-05	1.1564e-04	0.0000e+00	1.0874e-04	0.0000e+00	1.4944e-04	0.0000e+00	1.9600e-04	protein_coding	ENSG00000137312	2	1281	12	protein_coding	15025	1.5273e-02	7	2.1001e+01	3.3332e-01	NA	6	30695486	30710510
PERP	ENST00000421351	98	1.1179e+02	8.7668e-01	5.3954e-06	1236	26	3.4646e+01	7.5044e-01	412	42	4.9037e+01	8.5650e-01	2.6423e-06	387	3	3.6047e-07	81	8.3586e+00	7.9462e-02	4.3578e-02	8.7696e-01	3.5891e-01	6.6800e-01	1.1080e+00	7.4300e-01	1.0370e+00	1.6200e-01	9.2700e-01		7.8991e-01	4.6335e-01	1.7175e+00	9799	5	3	5	2.8897e-05	8.6099e-06	125741	7	0	125748	2.7834e-05	9.7420e-05	0.0000e+00	5.8194e-05	0.0000e+00	0.0000e+00	0.0000e+00	3.7231e-05	0.0000e+00	3.2725e-05	0.0000e+00	5.7819e-05	0.0000e+00	0.0000e+00	0.0000e+00	3.5159e-05	0.0000e+00	3.2663e-05	protein_coding	ENSG00000112378	2	579	3	protein_coding	19007	1.4163e-01	2	5.5319e+00	3.6154e-01	NA	6	138409642	138428648
IER3	ENST00000259874	55	8.7466e+01	6.2882e-01	3.8787e-06	970	9	2.6644e+01	3.3779e-01	310	31	3.8976e+01	7.9535e-01	1.8079e-06	359	0	1.4296e-07	32	3.1914e+00	6.3122e-01	2.7028e-02	3.4175e-01	0.0000e+00	5.9700e-01	1.0730e+00	5.0500e-01	7.8700e-01	0.0000e+00	9.2800e-01		1.0043e+00	1.2336e+00	1.6554e+00	9808	5	3	1	3.9938e-06	3.9938e-06	125194	1	0	125195	3.9938e-06	1.9969e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.2671e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.2672e-05	protein_coding	ENSG00000137331	2	468	2	protein_coding	1356	6.7146e-01	0	3.3638e+00	0.0000e+00	NA	6	30710976	30712331
LMBRD1	ENST00000370577	272	2.8418e+02	9.5715e-01	1.4220e-05	3512	58	7.1069e+01	8.1610e-01	859	91	9.8045e+01	9.2815e-01	4.8606e-06	1005	21	1.6400e-06	406	3.2599e+01	9.0253e-11	1.0356e-01	8.9644e-01	6.4420e-01	7.8200e-01	1.1050e+00	8.6600e-01	1.0580e+00	4.5600e-01	9.2800e-01		5.5928e-01	2.5669e-01	1.8824e+00	9818	5	3	42	7.8392e-04	4.6275e-04	125553	195	0	125748	7.7566e-04	7.5656e-02	1.3704e-03	4.3562e-04	0.0000e+00	1.0880e-04	7.4438e-04	1.1574e-03	6.5840e-04	1.9718e-04	1.3543e-03	4.3372e-04	0.0000e+00	1.0874e-04	7.3937e-04	1.1433e-03	6.5168e-04	1.9600e-04	protein_coding	ENSG00000168216	2	1620	16	protein_coding	121310	1.9435e-06	13	2.3512e+01	5.5291e-01	NA	6	70385694	70507003
CENPW	ENST00000368328	33	4.7522e+01	6.9441e-01	2.2742e-06	556	13	1.4226e+01	9.1380e-01	185	17	2.0084e+01	8.4645e-01	1.1120e-06	179	1	2.7906e-07	56	5.0938e+00	4.0523e-01	3.4458e-02	5.6031e-01	1.9632e-01	5.7800e-01	1.2700e+00	5.2500e-01	9.2900e-01	6.9000e-02	9.2900e-01		5.4094e-01	7.4861e-01	1.6808e+00	9824	5	3	4	2.4005e-05	8.0535e-06	125739	6	0	125745	2.3858e-05	7.1575e-05	1.2407e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.5250e-05	0.0000e+00	0.0000e+00	1.2304e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.5161e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000203760	2	264	3	protein_coding	8702	5.0014e-01	1	5.7903e+00	1.7270e-01	NA	6	126661320	126670021
LY6G5C	ENST00000383237	49	8.3389e+01	5.8761e-01	4.2293e-06	986	11	2.2369e+01	4.9176e-01	281	29	3.1668e+01	9.1576e-01	1.7268e-06	285	1	3.0307e-07	53	5.0961e+00	4.0546e-01	3.4404e-02	5.6014e-01	1.9623e-01	6.8100e-01	1.2490e+00	4.6600e-01	7.4600e-01	6.9000e-02	9.2900e-01		3.7264e-01	1.3382e+00	1.6814e+00	9829	5	3	2	8.1042e-06	4.0528e-06	123443	2	0	123445	8.1008e-06	8.1008e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	6.5837e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	6.5839e-05	protein_coding	ENSG00000204428	2	450	3	protein_coding	7357	6.1467e-01	1	6.9871e+00	1.4312e-01	NA	6	31644461	31651817
BCLAF1	ENST00000531224	667	4.1661e+02	1.6010e+00	2.1901e-05	5477	36	2.2244e+01	1.6184e+00	256	252	1.4197e+02	1.7750e+00	7.2540e-06	1582	28	2.7904e-06	531	4.1318e+01	2.0629e-14	1.8991e-01	8.1009e-01	6.7767e-01	1.5990e+00	1.9430e+00	1.5020e+00	1.7070e+00	5.0100e-01	9.2900e-01	mis_too_many|syn_outlier	-7.2591e+00	-4.3594e+00	1.9200e+00	9833	5	3	36	1.0768e-02	7.3605e-03	123059	2687	0	125746	1.0742e-02	1.4510e+01	2.4660e-03	3.7683e-03	1.2516e-02	6.0594e-03	1.5962e-02	7.8352e-03	1.1612e-02	3.2858e-02	2.4640e-03	3.7652e-03	1.2479e-02	6.0529e-03	1.5878e-02	7.7740e-03	1.1631e-02	3.2809e-02	protein_coding	ENSG00000029363	2	2760	11	protein_coding	32989	NA	NA	NA	NA	NA	6	136578001	136610989
LTA	ENST00000454783	60	1.1460e+02	5.2356e-01	5.9833e-06	1307	10	4.0322e+01	2.4801e-01	478	37	4.9917e+01	7.4123e-01	2.6600e-06	457	2	2.8867e-07	74	6.7518e+00	1.9685e-01	4.1527e-02	7.6163e-01	2.9622e-01	5.6900e-01	9.7500e-01	4.2400e-01	6.4900e-01	1.2000e-01	9.3200e-01		1.4372e+00	1.8124e+00	1.6946e+00	9868	5	3	2	7.9542e-06	3.9776e-06	125742	2	0	125744	7.9527e-06	7.9527e-06	6.1516e-05	2.8913e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	6.1518e-05	2.8911e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000226979	2	615	3	protein_coding	2271	7.4325e-01	0	4.2290e+00	0.0000e+00	NA	6	31539831	31542101
HLA-F	ENST00000259951	207	2.5674e+02	8.0627e-01	1.3722e-05	2847	73	9.3332e+01	7.8216e-01	1014	101	1.0582e+02	9.5442e-01	5.9173e-06	886	10	7.9134e-07	191	1.8179e+01	3.2760e-05	5.2881e-02	9.4709e-01	5.5008e-01	8.1100e-01	1.1260e+00	7.1900e-01	9.0500e-01	3.3800e-01	9.3300e-01		3.6860e-01	1.1031e+00	1.7776e+00	9885	5	3	19	6.1246e-04	5.1349e-04	125597	151	0	125748	6.0059e-04	4.5358e-02	4.3239e-04	1.1565e-04	0.0000e+00	6.8366e-03	4.6443e-05	9.1399e-05	3.3186e-04	1.0038e-04	3.6916e-04	1.1564e-04	0.0000e+00	6.8189e-03	4.6195e-05	8.7900e-05	3.2579e-04	9.7993e-05	protein_coding	ENSG00000204642	2	1326	7	protein_coding	15754	4.4004e-05	9	1.4564e+01	6.1794e-01	NA	6	29690552	29706305
RSPH3	ENST00000252655	316	3.1939e+02	9.8939e-01	1.6412e-05	3597	73	9.4228e+01	7.7471e-01	1121	130	1.1995e+02	1.0838e+00	5.6858e-06	1131	15	1.4890e-06	247	2.4758e+01	9.8725e-08	7.1235e-02	9.2876e-01	6.0587e-01	9.3900e-01	1.2540e+00	9.0200e-01	1.0860e+00	4.0400e-01	9.3300e-01		-7.2105e-01	6.7386e-02	1.8172e+00	9888	5	3	16	1.7188e-04	4.5733e-05	125712	35	0	125747	1.3918e-04	2.4358e-03	6.2251e-05	3.1152e-04	0.0000e+00	1.6310e-04	4.6245e-05	1.4248e-04	1.0367e-03	1.6775e-04	6.1518e-05	2.0238e-04	0.0000e+00	1.6311e-04	4.6195e-05	1.4065e-04	6.5168e-04	9.7993e-05	protein_coding	ENSG00000130363	3	1680	8	protein_coding	27317	1.3962e-03	9	2.3387e+01	3.8484e-01	NA	6	159393903	159421219
DUSP22	ENST00000344450	84	9.6454e+01	8.7088e-01	5.3811e-06	1134	35	3.7374e+01	9.3649e-01	453	37	3.6082e+01	1.0254e+00	2.2710e-06	299	5	4.7552e-07	139	1.1255e+01	9.3421e-03	4.6215e-02	9.4444e-01	4.4424e-01	7.8800e-01	1.3490e+00	7.2900e-01	1.0440e+00	2.3100e-01	9.3400e-01		-1.2014e-01	4.5063e-01	1.7277e+00	9897	5	3	5	1.2335e-04	6.7660e-05	125717	31	0	125748	1.2327e-04	1.9108e-03	1.2305e-04	2.8917e-05	0.0000e+00	1.0873e-04	0.0000e+00	1.4949e-04	3.2669e-04	2.2882e-04	1.2304e-04	2.8909e-05	0.0000e+00	1.0874e-04	0.0000e+00	1.4944e-04	3.2579e-04	2.2866e-04	protein_coding	ENSG00000112679	2	552	8	protein_coding	59726	4.3071e-03	5	9.1338e+00	5.4742e-01	NA	6	291630	351355
ALDH5A1	ENST00000348925	254	2.8912e+02	8.7852e-01	1.6193e-05	3483	102	1.2543e+02	8.1322e-01	1393	112	1.1949e+02	9.3729e-01	7.6329e-06	1152	14	1.1631e-06	280	2.3361e+01	3.0504e-07	6.9925e-02	9.3007e-01	5.9929e-01	8.0300e-01	1.0970e+00	7.9200e-01	9.7500e-01	3.9500e-01	9.3700e-01		5.3886e-01	7.3405e-01	1.7947e+00	9924	5	3	31	3.2218e-04	5.5672e-05	125667	81	0	125748	3.2212e-04	1.3048e-02	3.0769e-04	4.9149e-04	0.0000e+00	1.0874e-04	9.2404e-05	4.3088e-04	0.0000e+00	1.9599e-04	3.0763e-04	4.9156e-04	0.0000e+00	1.0874e-04	9.2392e-05	4.3079e-04	0.0000e+00	1.9600e-04	protein_coding	ENSG00000112294	2	1644	11	protein_coding	42356	2.9043e-03	7	1.6560e+01	4.2270e-01	NA	6	24495080	24537435
RTN4IP1	ENST00000369063	192	2.2256e+02	8.6269e-01	1.1379e-05	2582	69	8.8350e+01	7.8099e-01	983	82	7.5226e+01	1.0900e+00	4.0048e-06	783	12	1.1061e-06	239	2.0754e+01	3.1428e-06	6.1341e-02	9.3866e-01	5.7820e-01	9.1100e-01	1.3100e+00	7.6600e-01	9.7200e-01	3.7000e-01	9.3700e-01		-6.1391e-01	7.2795e-01	1.7806e+00	9925	5	3	27	3.4723e-04	9.9887e-05	125662	86	0	125748	3.4201e-04	1.4709e-02	2.4613e-04	2.9061e-05	0.0000e+00	1.6577e-04	2.7750e-04	4.2369e-04	6.5387e-04	6.8761e-04	2.4609e-04	2.8909e-05	0.0000e+00	1.6311e-04	2.7720e-04	4.1320e-04	6.5168e-04	6.8615e-04	protein_coding	ENSG00000130347	2	1188	9	protein_coding	58471	3.7520e-06	11	1.6922e+01	6.5003e-01	NA	6	107018903	107077373
XXbac-BPG181M17.5	ENST00000429234	50	9.2168e+01	5.4249e-01	4.7717e-06	1121	16	3.6718e+01	4.3575e-01	458	42	3.8960e+01	1.0780e+00	2.0883e-06	345	3	4.3249e-07	85	8.2592e+00	7.6603e-02	4.5989e-02	8.7741e-01	3.6323e-01	8.4100e-01	1.3940e+00	4.3100e-01	6.8700e-01	1.6400e-01	9.3900e-01		-3.8287e-01	1.5608e+00	1.6958e+00	9937	5	3	2	8.0549e-06	4.0644e-06	125553	2	0	125555	7.9647e-06	7.9647e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.8419e-06	0.0000e+00	3.2934e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.8133e-06	0.0000e+00	3.2665e-05	protein_coding	ENSG00000248993	2	526	4	protein_coding	15759	NA	NA	NA	NA	NA	6	32905141	32920899
RSPH4A	ENST00000229554	354	3.7131e+02	9.5338e-01	1.7870e-05	4717	138	1.3834e+02	9.9754e-01	1843	130	1.3472e+02	9.6497e-01	6.5236e-06	1355	21	1.8140e-06	373	3.2195e+01	7.5712e-11	1.2548e-01	8.7452e-01	6.5228e-01	8.3600e-01	1.1160e+00	8.7300e-01	1.0410e+00	4.6200e-01	9.3900e-01		3.1957e-01	3.1926e-01	1.8283e+00	9945	5	3	39	3.8470e-04	5.2241e-05	125651	96	0	125747	3.8179e-04	1.8330e-02	6.1569e-05	6.6588e-04	9.9246e-05	9.2478e-04	0.0000e+00	3.3737e-04	1.1469e-03	2.9661e-04	6.1518e-05	6.6511e-04	9.9211e-05	9.2464e-04	0.0000e+00	3.3406e-04	1.1411e-03	2.9401e-04	protein_coding	ENSG00000111834	2	2148	6	protein_coding	16507	1.8409e-07	14	2.1928e+01	6.3845e-01	NA	6	116937642	116954148
CEP57L1	ENST00000407272	226	2.2574e+02	1.0012e+00	1.0659e-05	3070	81	7.4851e+01	1.0821e+00	1154	64	7.1353e+01	8.9694e-01	3.3573e-06	777	16	1.3702e-06	335	2.5847e+01	2.8112e-08	8.4502e-02	9.1550e-01	6.1903e-01	7.3200e-01	1.1040e+00	8.9700e-01	1.1180e+00	4.1800e-01	9.4000e-01		6.8431e-01	-6.2415e-03	1.7948e+00	9952	5	3	22	3.7402e-04	9.6105e-05	125638	87	2	125727	3.5400e-04	1.5756e-02	9.2467e-04	2.6491e-04	9.9226e-04	4.3534e-04	0.0000e+00	1.6036e-04	1.6329e-04	1.1054e-03	9.2316e-04	2.6021e-04	9.9256e-04	4.3502e-04	0.0000e+00	1.5828e-04	1.6293e-04	9.1497e-04	protein_coding	ENSG00000183137	3	1380	10	protein_coding	68823	4.2648e-09	15	1.8723e+01	8.0114e-01	NA	6	109416313	109485135
CYB5R4	ENST00000369681	224	2.5738e+02	8.7032e-01	1.1967e-05	3428	73	9.7489e+01	7.4880e-01	1276	87	8.6503e+01	1.0057e+00	4.0346e-06	930	18	1.2690e-06	394	2.8367e+01	2.6203e-09	1.0012e-01	8.9988e-01	6.3455e-01	8.4500e-01	1.2020e+00	7.8000e-01	9.7200e-01	4.3800e-01	9.4100e-01		-4.2027e-02	7.3928e-01	1.8037e+00	9965	5	3	25	1.0673e-04	7.9850e-06	125718	26	0	125744	1.0339e-04	1.3441e-03	1.9036e-04	1.1969e-04	0.0000e+00	1.7695e-04	0.0000e+00	1.0614e-04	0.0000e+00	1.4282e-04	1.8456e-04	1.1564e-04	0.0000e+00	1.6311e-04	0.0000e+00	1.0549e-04	0.0000e+00	1.3066e-04	protein_coding	ENSG00000065615	2	1563	16	protein_coding	107782	3.4348e-04	9	1.9660e+01	4.5778e-01	NA	6	84569362	84677143
ABCC10	ENST00000372530	825	8.7964e+02	9.3788e-01	5.4100e-05	9374	340	3.4430e+02	9.8751e-01	3708	391	3.9198e+02	9.9751e-01	2.3141e-05	3423	50	3.8214e-06	658	6.7280e+01	1.2887e-26	8.2475e-01	1.7525e-01	7.4317e-01	9.1700e-01	1.0850e+00	8.8500e-01	9.9300e-01	5.9100e-01	9.4100e-01		3.8787e-02	6.5471e-01	1.9521e+00	9969	5	3	82	8.7382e-04	1.5513e-04	125530	217	1	125748	8.6719e-04	9.4565e-02	3.4036e-03	6.3881e-04	0.0000e+00	5.4485e-04	1.2551e-03	7.0662e-04	8.1652e-04	6.5403e-04	3.3891e-03	6.3619e-04	0.0000e+00	5.4380e-04	1.2018e-03	7.0342e-04	8.1466e-04	6.5347e-04	protein_coding	ENSG00000124574	2	4476	21	protein_coding	23065	8.3054e-21	37	4.7185e+01	7.8415e-01	NA	6	43395104	43418168
HLA-DQB1	ENST00000374943	91	1.3374e+02	6.8042e-01	6.9119e-06	1624	31	4.6582e+01	6.6549e-01	621	31	5.1574e+01	6.0107e-01	2.6711e-06	495	5	5.6410e-07	133	1.1140e+01	8.9259e-03	4.9035e-02	9.4204e-01	4.4883e-01	4.5100e-01	8.1100e-01	5.7300e-01	8.1000e-01	2.3400e-01	9.4400e-01		2.2520e+00	1.3133e+00	1.7047e+00	10006	5	3	4	4.0589e-05	1.6263e-05	124521	10	0	124531	4.0151e-05	2.0076e-04	3.2563e-04	1.1876e-04	0.0000e+00	5.6709e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.1707e-04	1.1722e-04	0.0000e+00	5.5818e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000179344	2	807	6	protein_coding	8917	3.5302e-01	2	8.5250e+00	2.3460e-01	NA	6	32627244	32636160
